[2026-07-08 19:06:03] [INFO] IP=127.0.0.1 | SESSION=674f4860-dfac-4987-a399-6f0b4d4cf436 | TYPE=Reconnaissance | SCORE=20 | CMD=ls
[2026-07-08 19:06:05] [INFO] IP=127.0.0.1 | SESSION=674f4860-dfac-4987-a399-6f0b4d4cf436 | TYPE=Unknown | SCORE=5 | CMD=top
[2026-07-08 19:07:35] [INFO] IP=127.0.0.1 | SESSION=ce41454c-7383-475c-8102-376513934a6f | TYPE=Unknown | SCORE=5 | CMD=crontab -e
[2026-07-08 19:12:22] [INFO] IP=127.0.0.1 | SESSION=5f49ae0e-b94d-4044-a2e1-831db4a01bce | TYPE=Unknown | SCORE=5 | CMD=top
[2026-07-17 11:33:22] [INFO] IP=127.0.0.1 | SESSION=b9e656dc-54d0-44fb-92d1-65d33fa5c432 | TYPE=Directory Navigation | SCORE=10 | CMD=cd
[2026-07-17 11:34:15] [INFO] IP=127.0.0.1 | SESSION=edeaa5c5-b23c-4537-8267-4c864a97c807 | TYPE=Reconnaissance | SCORE=20 | CMD=ls
[2026-07-17 11:37:38] [INFO] IP=127.0.0.1 | SESSION=e8d66ca1-cb16-4cbf-aabf-ae36d3e220f4 | TYPE=Unknown | SCORE=5 | CMD=top
[2026-07-17 11:37:40] [INFO] IP=127.0.0.1 | SESSION=e8d66ca1-cb16-4cbf-aabf-ae36d3e220f4 | TYPE=Unknown | SCORE=5 | CMD=crontab -e
[2026-07-17 11:49:35] [INFO] IP=127.0.0.1 | SESSION=3aff9d2e-84e4-4d78-bad4-515329c9bfd1 | TYPE=Unknown | SCORE=5 | CMD=top
[2026-07-17 11:49:37] [INFO] IP=127.0.0.1 | SESSION=3aff9d2e-84e4-4d78-bad4-515329c9bfd1 | TYPE=Unknown | SCORE=5 | CMD=crontab -e
[2026-07-17 11:51:27] [INFO] IP=127.0.0.1 | SESSION=70fa7cc6-20be-4d23-a87f-296c947aca05 | TYPE=Unknown | SCORE=5 | CMD=top
[2026-07-17 11:51:29] [INFO] IP=127.0.0.1 | SESSION=70fa7cc6-20be-4d23-a87f-296c947aca05 | TYPE=Unknown | SCORE=5 | CMD=crontab -e
[2026-07-17 11:52:55] [INFO] IP=127.0.0.1 | SESSION=27457078-c730-4edc-9726-7ff6b1b0c2c3 | TYPE=Unknown | SCORE=5 | CMD=top
[2026-07-17 11:54:35] [INFO] IP=127.0.0.1 | SESSION=44f9db03-2b64-4960-8327-15e7ab1d0ef3 | TYPE=Unknown | SCORE=5 | CMD=top
exit
[2026-07-17 11:54:52] [INFO] IP=127.0.0.1 | SESSION=c7807336-8c46-4dbc-aabb-4e1a8b911aba | TYPE=Unknown | SCORE=5 | CMD=top
exit
[2026-07-17 11:55:16] [INFO] IP=127.0.0.1 | SESSION=aebd2440-3a84-42d7-8d71-bebf4b0fa77c | TYPE=Unknown | SCORE=5 | CMD=top
exit
[2026-07-17 11:55:43] [INFO] IP=127.0.0.1 | SESSION=b3045733-3075-48de-91d6-e4f7bd41e88d | TYPE=Unknown | SCORE=5 | CMD=top
[2026-07-17 11:55:45] [INFO] IP=127.0.0.1 | SESSION=b3045733-3075-48de-91d6-e4f7bd41e88d | TYPE=Unknown | SCORE=5 | CMD=crontab -e
[2026-07-17 12:01:24] [INFO] IP=127.0.0.1 | SESSION=e3f07d0e-e898-45a4-a991-34681e30d256 | TYPE=Reconnaissance | SCORE=20 | CMD=ls
[2026-07-17 12:08:18] [INFO] IP=127.0.0.1 | SESSION=65905d3c-40bd-4b35-b11b-2f3d46c956e5 | TYPE=Reconnaissance | SCORE=20 | CMD=ls
[2026-07-17 12:08:22] [INFO] IP=127.0.0.1 | SESSION=3a1b9e5c-a3a7-4c68-9bf9-b7e72667336e | TYPE=Unknown | SCORE=5 | CMD=ls -a
[2026-07-17 12:08:27] [INFO] IP=127.0.0.1 | SESSION=2fc87e40-c116-4205-800b-e2988ff14fbe | TYPE=Unknown | SCORE=5 | CMD=ls -la
[2026-07-17 12:08:30] [INFO] IP=127.0.0.1 | SESSION=c3be015d-b35e-4cde-b08a-d1f5840a5c33 | TYPE=Unknown | SCORE=5 | CMD=ls -l
[2026-07-17 13:23:42] [INFO] IP=127.0.0.1 | SESSION=cb740bb3-d543-436d-9395-011124ff68a5 | TYPE=Reconnaissance | SCORE=20 | CMD=ls
[2026-07-17 13:37:40] [INFO] IP=127.0.0.1 | SESSION=dc515675-e74f-4ec9-928f-9d1cdb3645c3 | TYPE=Reconnaissance | SCORE=20 | CMD=ls
[2026-07-17 13:37:42] [INFO] IP=127.0.0.1 | SESSION=dc515675-e74f-4ec9-928f-9d1cdb3645c3 | TYPE=Unknown | SCORE=5 | CMD=ls -a
[2026-07-17 13:37:44] [INFO] IP=127.0.0.1 | SESSION=dc515675-e74f-4ec9-928f-9d1cdb3645c3 | TYPE=Unknown | SCORE=5 | CMD=cat company_directory/employees.csv
[2026-07-17 17:17:33] [INFO] IP=127.0.0.1 | SESSION=eb40e63c-7d31-4dd8-9cc6-bfcec43ffc44 | TYPE=Reconnaissance | SCORE=20 | CMD=ls
[2026-07-17 17:26:21] [INFO] IP=127.0.0.1 | SESSION=27daefd8-cff4-4262-bf42-f289652dc917 | TYPE=Unknown | SCORE=5 | CMD=top
[2026-07-17 17:26:42] [INFO] IP=127.0.0.1 | SESSION=27daefd8-cff4-4262-bf42-f289652dc917 | TYPE=Unknown | SCORE=5 | CMD=crontab -e
